Symbol	Description
FTESLNE.L	FTSE Eurobloc Large Cap
FTESPSL.L	FTSE All Cap Spain Super
FTESPSLN.L	FTSE Spain Super Liquid
FTEU.L	First Trust Global Funds Public Limited
FTEUSLNE.L	FTSE Eurobloc Large Cap
FTFX.L	First Trust Global Funds Public Limited
FTGMIL2X.L	FTSE Gold Mines 2X Daily Leverage Index
FTGMIL3X.L	FTSE Gold Mines 3X Daily Leverage Index
FTGMIS1X.L	FTSE Gold Mines Daily Short Index
FTGMIS2X.L	FTSE Gold Mines 2X Daily Short Index
FTGMIS3X.L	FTSE Gold Mines 3X Daily Short Index
FTJPEM.L	FTSE Emerging Diversifie
FTJPEMN.L	FTSE Emerging Diversifie
FTJPEU.L	FTSE Deveudivfactor
FTJPEUN.L	FTSE Deveudivfct Nt
FTJPGE.L	FTSE Developed Diversifi
FTJPGEN.L	FTSE Developed Diversifi
FTJPIN.L	FTSE Developed Ex North
FTJPINN.L	FTSE Developed Ex North
FTJPMC.L	Russell Midcap Diversified Factor Index
FTJPSE.L	Russell 2000 Diversified Factor Index
FTJPUS.L	Russell 1000 Diversified Factor Index
FTJPUSN.L	Jpmorgan Diversified Factor US Equity NE
FTJSLY.L	FTSE Japan Large Cap Sup
FTJSLYN.L	FTSE Japan Large Cap Sup
FTKLPL2X.L	FTSE Bursa Malaysia KLCI 2X Daily Levera
FTKLPS1X.L	FTSE Bursa Malaysia KLCI Daily Short (Pr
FTSD10.L	FTSE Asia Pac Small Cap
FTSD14.L	FTSE Dev Europe Small CA
FTSV.L	Foresight Solar Vct Plc
FTSWD.L	FTSE Shariah Developed Europe Index
FTTCC.L	FTSE Total China Connect Index
FTTCCN.L	FTSE Total China Connect Net Tax Index
FTUGAS.L	Epra/Nareit Asia Index [Usd]
FTUKLSNG.L	FTSE UK Large Cap Super
FTUKMSLG.L	FTSE UK Mid Cap Super Li
FTUKMSNG.L	FTSE UK Mid Cap Super Li
FTUKSLSP.L	FTSE UK Large Cap Super Liquid Expiry Index
FTUSALUT.L	FTSE US Risk Premium Index Series Noa T
FTUSASUT.L	FTSE US Risk Premium Index Series Noa T
FTUSDLUT.L	FTSE US Risk Premium Index Series Divid
FTUSDSUT.L	FTSE US Risk Premium Index Series Divid
FTUSELUT.L	FTSE US Risk Premium Index Series Roe L
FTUSESUT.L	FTSE US Risk Premium Index Series Roe S
FTUSFLUT.L	FTSE US Risk Premium Index Series Cash
FTUSFSUT.L	FTSE US Risk Premium Index Series Cash
FTUSILUT.L	FTSE US Risk Premium Index Series Cash
FTUSISUT.L	FTSE US Risk Premium Index Series Cash
FTUSLNU.L	FTSE USA Large Cap Super
FTUSLU.L	FTSE USA Super Liquid IN
FTUSMLUT.L	FTSE US Risk Premium Index Series Price
FTUSMSUT.L	FTSE US Risk Premium Index Series Price
FTUSNLUT.L	FTSE US Risk Premium Index Series Seaso
FTUSNSUT.L	FTSE US Risk Premium Index Series Seaso
FTUSPLUT.L	FTSE US Risk Premium Index Series Forwa
FTUSPSUT.L	FTSE US Risk Premium Index Series Forwa
FTUSSNU.L	FTSE USA Small Cap Super
FTUSSU.L	FTSE USA Small Cap Super
FTUSVLUT.L	FTSE US Risk Premium Index Series Low V
FTUSVSUT.L	FTSE US Risk Premium Index Series Low V
FTUSWLUT.L	FTSE US Risk Premium Index Series Forwa
FTUSWSUT.L	FTSE US Risk Premium Index Series Forwa
FTUSXLUT.L	FTSE US Risk Premium Index Series Exten
FTUSXSUT.L	FTSE US Risk Premium Index Series Exten
FTUSYLUT.L	FTSE US Risk Premium Index Series Cash
FTUSYSUT.L	FTSE US Risk Premium Index Series Cash
FTUSZLUT.L	FTSE US Risk Premium Index Series Size
FTUSZSUT.L	FTSE US Risk Premium Index Series Size
FTV.L	Foresight Vct Plc
FTXUKSNE.L	FTSE Developed Europe Ex
FUCICN.L	FTSE USA Core Infrastructure Capped Net
FUDP.L	FTSE UK Dividend+ Index
FUDPN.L	FTSE UK Dividend+ Net Ta
FUL.L	The Fulham Shore Plc
FUM.L	Futura Medical Plc
FUQA.L	Fidelity Ucits Icav
FUSA.L	Fidelity Ucits Icav
FUSD.L	Fidelity Ucits Icav
FUSI.L	Fidelity Ucits Icav
FUSP.L	Fidelity Ucits Icav
FUSRQVY3.L	FTSE USA Small Cap Ex Real Estate 2Qual/
FUSSCQV3.L	FTSE USA Small Cap Qual/Vol/Yield Factor
FUSYQVCF.L	FTSE USA Yield/Qual/Vol
FUSYQVCN.L	FTSE USA Qual/Vol/Yield Factor 5% Capped
FUTR.L	Future Plc
FVTT.L	FTSE Vietnam Index
FVUB.L	Franklin Libertyshares Icav
FVUG.L	Franklin Libertyshares Icav
FXC.L	Ishares Plc
FXPO.L	Ferrexpo Plc
FXRU.L	Finex Funds Plc
FXTM.L	FTSE China 50 Mini Index
FYX.L	First Trust Global Funds Public Limited
G06.L	FTSE Asia Pac Lms Index
G07.L	FTSE Asia Pac Lms Ex Jap
G08.L	FTSE Asia Pac Lms Ex Jap
G09.L	FTSE Asia Pac Lms Ex JP
G10.L	FTSE Greater China Lms I
G11.L	FTSE Europe Lms Index
G12.L	FTSE Europe Lms Ex UK IN
G14.L	FTSE Eurobloc Lms Index
G3E.L	G3 Exploration Limited
G4M.L	Gear4Music [Holdings] Pl
GAAA.L	Ishares Vi Plc
GABI.L	Gcp Asset Backed Income Fund Limited
GACA.L	General Accident Plc
GACB.L	General Accident Plc
GAGG.L	Amundi ETF
GAID.L	Gail [India] Ld
GAL.L	Galantas Gold Corporation
GAMA.L	Gamma Communications Plc
GAN.L	Gameaccount Network Plc
GATC.L	Gattaca Plc
GAW.L	Games Workshop Group Plc
GAZ.L	Jsc Gazprom Neft
GBCH.L	ETFS Foreign Exchange Limited
GBDV.L	SSGA SPDR ETFS Europe I
GBG.L	Gb Group Plc
GBJP.L	ETFS Foreign Exchange Limited
GBP.L	Global Petroleum Limited
GBRE.L	SSGA SPDR ETFS Europe I
GBS.L	Gold Bullion Securities Ld
GBSP.L	ETFS Hedged Metal Securi
GBSS.L	Gold Bullion Securities Ld
GBUR.L	ETFS Foreign Exchange Limited
GBUS.L	ETFS Foreign Exchange Limited
GCG.L	Golden Rock Global Plc
GCL.L	Geiger Counter Limited
GCLA.L	Grupo Clarin S.A.
GCM.L	Gcm Resources Plc
GCP.L	Gcp Infrastructure Investments Limited
GCS.L	Geiger Counter Limited
GCVB.L	SSGA SPDR ETFS Europe II
GDGB.L	Vaneck Vectors Ucits ETFS Plc
GDIG.L	Vaneck Vectors Ucits ETFS Plc
GDP.L	Goldplat Plc
GDR.L	Genedrive Plc
GDWN.L	Goodwin Plc
GDX.L	Market Vectors Ucits ETF
GDXJ.L	Market Vectors Ucits ETF
GEC.L	General Electric Company
GEDM.L	Ishares IV Plc
GEEC.L	Great Eastern Energy Corporation Limited
GEF.L	Fundlogic Alternatives P
GEISAC.L	FTSE Gloabl All Cap Inde
GEM.L	Gemfields Plc
GEMD.L	Gem Diamonds Limited
GEND.L	Lyxor Index Fund
GENG.L	UBS [Irl] ETF Plc
GENL.L	Genel Energy Plc
GETB.L	Getbusy Plc
GFA.L	Vaneck Vectors Ucits ETFS Plc
GFGB.L	Vaneck Vectors Ucits ETFS Plc
GFIN.L	Gfinity Plc
GFM.L	Griffin Mining Limited
GFRD.L	Galliford TRY Plc
GFS.L	G4S Plc
GFTU.L	Grafton Group Plc
GGOV.L	Amundi ETF
GGP.L	Greatland Gold Plc
GGRA.L	Wisdomtree Issuer Plc
GGRG.L	Wisdomtree Issuer Plc
GGRP.L	Wisdomtree Issuer Plc
GGRW.L	Wisdomtree Issuer Plc
GHE.L	Gresham House Plc
GHG.L	Georgia Healthcare Group Plc
GHH.L	Gooch & Housego Plc
GHS.L	Gresham House Strategic Plc
GHT.L	Gresham Computing Plc
GHYG.L	Ishares Plc
GHYS.L	Ishares Vi Plc [The Comp
GIF.L	Gulf Investment Fund Plc
GIGB.L	Vaneck Vectors Ucits ETFS Plc
GIL5.L	Multi Units Luxembourg
GILE.L	Ishares III Plc
GILI.L	Multi Units France
GILS.L	Multi Units France
GIN.L	SSGA SPDR ETFS Europe II
GINC.L	First Trust Global Funds Public Limited
GINV.L	Global Invacom Group Lim
GIST.L	Multi Units Luxembourg
GJGB.L	Vaneck Vectors Ucits ETFS Plc
GKP.L	Gulf Keystone Petroleum Ltd
GLAB.L	SSGA SPDR ETFS Europe I Plc
GLAD.L	SSGA SPDR ETFS Europe I Plc
GLAG.L	SSGA SPDR ETFS Europe I Plc
GLB.L	Glanbia Plc
GLBL.L	SSGA SPDR ETFS Europe I Plc
GLCB.L	SSGA SPDR ETFS Europe II Plc
GLDU.L	UBS Ag
GLDV.L	SSGA SPDR ETFS Europe I
GLE.L	Gleeson [M.J.] Group Plc
GLEN.L	Glencore Xstrata Plc
GLGG.L	Legal & General Ucits ETF Public Limited
GLIF.L	Greenwich Loan Income Fund Ld
GLIZ.L	Gli Finance Limited
GLO.L	Contourglobal Plc
GLPR.L	Global Ports Investments
GLR.L	Galileo Resources Plc
GLRA.L	SSGA SPDR ETFS Europe I Plc
GLRE.L	SSGA SPDR ETFS Europe I
GLT5.L	Invesco Markets II Plc
GLTA.L	Invesco Markets II Plc
GLTL.L	SSGA SPDR ETFS Europe I Plc
GLTP.L	Invesco Markets II Plc
GLTR.L	Globaltrans Investment P
GLTS.L	SSGA SPDR ETFS Europe I Plc
GLTY.L	SSGA SPDR ETFS Europe I Plc
GLUG.L	Legal & General Ucits ETF Public Limited
GLV.L	Glenveagh Properties Plc
GMAA.L	Gama Aviation Plc
GMIN.L	FTSE Gold Mines Net Tax Index
GMP.L	Gabelli Merger Plus+ Trust Plc
GMR.L	Gaming Realms Plc
GMS.L	Gulf Marine Services Plc
GNC.L	Greencore Group Plc
GNS.L	Genus Plc
GOCO.L	Gocompare.com Group Plc
GOG.L	Go-Ahead Group Plc
GOLB.L	RBS Market Access
GOO2.L	Leverage Shares Public Limited Company
GOOD.L	Good Energy Group Plc
GOOE.L	Leverage Shares Public Limited Company
GOVP.L	Ishares Plc
GOVY.L	SSGA SPDR ETFS Europe I
GPBGI028.L	FTSE Custom Xinhua Chia
GPBGI204.L	Focused Value Select Index
GPCCH001.L	FTSE China High Yield Prosperity Index
GPCCH002.L	FTSE China High Yield Prosperity Net Tax
GPCCH003.L	FTSE China Soe Sustainable Prosperity IN
GPCISI01.L	FTSE Cisi China Core Asset Index
GPCISI02.L	FTSE Cisi China Core Asset Net Tax Index
GPCSP002.L	CSOP Developed All Cap Aerospace & Defen
GPCSP003.L	CSOP Developed All Cap Aerospace & Defen
GPCSP004.L	CSOP Developed All Cap Ex Korea Brewers
GPCSP005.L	CSOP Developed All Cap Ex Korea Brewers
GPCSSA50.L	FTSE China A50 Shariah I
GPCST001.L	FTSE Coast Kuwait 40 Ind
GPFF001.L	FTSE Asfa L/M 200 Tax Ex
GPFF002.L	FTSE Asfa All-Share L/M/
GPFF003.L	FTSE Asfa L/M 200 Ex Rei
GPFF004.L	FTSE Asfa All-Share L/M/
GPH.L	Global Ports Holding Plc
GPLGHE01.L	Heitman Prime Real Estate Index
GPM.L	Golden Prospect Precious Metals Limited
GPNYL007.L	FTSE Germany Unhedged IN
GPOR.L	Great Portland Estates Plc
GPPS005.L	FTSE Japan Unhedged USD
GPSA.L	Ishares IV Plc
GPSCW002.L	FTSE Developed Small Cap
GPSOC001.L	FTSE 100 Fixed Dividend Yield Equal Weig
GPSS.L	Golden Prospect Precious Metals Limited
GPSSG239.L	FTSE Greater China Hkd I
GPSYNT01.L	Syntax Stratified 1000 Index
GPSYNT02.L	Syntax Stratified 1000 Net Tax Index
GPTRP006.L	FTSE Cuspacglhdntind
GPVAN001.L	FTSE Value-Stocks China
GPVAN013.L	FTSE Australia High Divi
GPVAN019.L	FTSE Canada All Cap Oil
GPVAN020.L	FTSE Canada All Cap Basi
GPVAN021.L	FTSE Canada All Cap Fina
GPVAN022.L	FTSE Canada All Cap Real
GPVAN025.L	FTSE Canada High Dividen
GPVAN044.L	FTSE Asia Pacific Ex JP
GPVAN045.L	FTSE Asia Pacific Ex JP
GPVAN090.L	FTSE All-World Ex US High Dividend Yield
GPVAN112.L	FTSE Developed Ex North America High Div
GPVAN113.L	FTSE Developed Ex North America High Div
GPVP002.L	FTSE Value-Stock China I
GPVP009.L	FTSE Value-Stocks China
GR1T.L	Grit Real Estate Income Group Limited
GRA.L	Grafenia Plc
GRC.L	Grc International Group Plc
GRG.L	Greggs Plc
GRI.L	Grainger Plc
GRID.L	Gresham House Energy Storage Fund Plc
GRIO.L	Ground Rents Income Fund Plc
GRIT.L	Global Resources Investm
GRIW.L	Ground Rents Income Fund Plc
GROW.L	Draper Esprit Plc
GRP.L	Greencoat Renewables Plc
GRTB.L	Guaranty Trust Bank Plc
GS2.L	Leverage Shares Public Limited Company
GS2E.L	Leverage Shares Public Limited Company
GSF.L	Gore Street Energy Storage Fund Plc
GSH.L	Green & Smart Holdings Plc
GSK.L	Glaxosmithkline Plc
GSLC.L	Goldman Sachs ETF Icav
GSPX.L	Ishares Vii Plc
GSS.L	Genesis Emerging Markets Fund Ld
GST.L	Golden Saint Technologies Limited
GTC.L	Getech Group Plc
GTLY.L	Gateley [Holdings] Plc
GUN.L	Gunsynd Plc
GUS.L	Gusbourne Plc
GV1O.L	Gresham House Renewable Energy Vct 1 Plc
GV2O.L	Gresham House Renewable Energy Vct 2 Plc
GVC.L	Gvc Holdings Plc
GVP.L	Gabelli Value Plus+ Trus
GWI.L	Globalworth Real Estate
GWMO.L	Great Western Mining Corporation Plc
GWUSA.L	FTSE Gwa US Index
GXLC.L	SSGA SPDR ETFS Europe II Plc
GYG.L	Gyg Plc
GYM.L	The Gym Group Plc
GYS.L	Gamesys Group Plc
H50E.L	HSBC ETFS Plc
HAGB.L	Vaneck Vectors Ucits ETFS Plc
HAN.L	Hansa Trust Plc
HANA.L	Hansa Trust Plc
HAP.L	Vaneck Vectors Ucits ETFS Plc
HAS.L	Hays Plc
HAST.L	Henderson Alternative ST
HAT.L	H&T Group Plc
HAYD.L	Haydale Graphene Industr
HBRL.L	HSBC ETFS Plc
HBRN.L	Hibernia REIT P.L.C.
HCAD.L	HSBC ETFS Plc
HCAN.L	HSBC ETFS Plc
HCFT.L	Highcroft Investments Plc
HCM.L	Hutchison China Meditech Limited
HDD.L	Hardide Plc
HDEM.L	Powershares Glbal Funds Ireland Plc
HDEU.L	Powershares Glbal Funds Ireland Plc
HDIQ.L	Ishares II Plc
HDIV.L	Henderson Diversified Income Limited
HDLG.L	Powershares Glbal Funds
HDLV.L	Powershares Glbal Funds
HDLVDEUN.L	FTSE Developed Europe Ex UK High Dividen
HDLVEMN.L	FTSE Emerging High Dividend Low Volatili
HDLVTW.L	FTSE Taiwan High Dividend Low Volatility
HDLVUKN.L	FTSE UK High Dividend Low Volatility Net
HDT.L	Holders Technology Plc
HEAD.L	Headlam Group Plc
HEAL.L	Ishares IV Plc
HEAT.L	ETFS Commodity Securities Limited
HEDF.L	Wisdomtree Issuer Plc
HEDG.L	Wisdomtree Issuer Plc
HEDJ.L	Wisdomtree Issuer Plc
HEDK.L	Wisdomtree Issuer Plc
HEDP.L	Wisdomtree Issuer Plc
HEDS.L	Wisdomtree Issuer Plc
HEFT.L	Henderson European Focus Trust Plc
HEMO.L	Hemogenyx Pharmaceuticals Plc
HEWA.L	HSBC ETFS Plc
HFD.L	Halfords Group Plc
HFEL.L	Henderson Far East Income Limited
HFG.L	Hilton Food Group Plc
HGM.L	Highland Gold Mining Ld
HGT.L	Hg Capital Trust Plc
HHI.L	Henderson High Income Trust Plc
HHPD.L	Hon Hai Precision Indust
HHV.L	Hargreave Hale Aim Vct 1 Plc
HICL.L	Hicl Infrastructure Company Ld
HIDD.L	HSBC ETFS Plc
HIDR.L	HSBC ETFS Plc
HIGH.L	Ishares Plc
HIK.L	Hikma Pharmaceuticals Plc
HILS.L	Hill & Smith Holdings Plc
HINT.L	Henderson International Income Trust Plc
HIX.L	FTSE Actuaries 350 High Yield
HKOD.L	HSBC ETFS Plc
HKOR.L	HSBC ETFS Plc
HL.L	HARGREAVES LANSDOWN PLC ORD GBP0.004 WI
HLCL.L	Helical Bar Plc
HLMA.L	Halma Plc
HLQD.L	Ishares Plc
HLTH.L	SSGA SPDR ETFS Europe II
HLTW.L	Multi Units Luxembourg
HMAD.L	HSBC ETFS Plc
HMAF.L	HSBC ETFS Plc
HMBR.L	HSBC ETFS Plc
HMCA.L	HSBC ETFS Plc
HMCD.L	HSBC ETFS Plc
HMCH.L	HSBC ETFS Plc
HMCT.L	HSBC ETFS Plc
HMCX.L	HSBC ETFS Plc
HMED.L	HSBC ETFS Plc
HMEF.L	HSBC ETFS Plc
HMEM.L	HSBC ETFS Plc
HMEU.L	HSBC ETFS Plc
HMEX.L	HSBC ETFS Plc
HMFD.L	HSBC ETFS Plc
HMFE.L	HSBC ETFS Plc
HMI.L	Harvest Minerals Limited
HMJD.L	HSBC ETFS Plc
HMJP.L	HSBC ETFS Plc
HMLA.L	HSBC ETFS Plc
HMLD.L	HSBC ETFS Plc
HMLH.L	Hml Holdings Plc
HMSA.L	HSBC ETFS Plc
HMSG.L	Hms Hydraulic Machines
HMSO.L	Hammerson Plc
HMSP.L	HSBC ETFS Plc
HMUD.L	HSBC ETFS Plc
HMUS.L	HSBC ETFS Plc
HMWD.L	HSBC ETFS Plc
HMWO.L	HSBC ETFS Plc
HMXD.L	HSBC ETFS Plc
HMXJ.L	HSBC ETFS Plc
HMYD.L	HSBC ETFS Plc
HMYR.L	HSBC ETFS Plc
HNE.L	Henderson Eurotrust Plc
HNT.L	Huntsworth Plc
HOC.L	Hochschild Mining Plc
HOGS.L	ETFS Commodity Securities Limited
HON.L	Honeywell International Incorporated
HONY.L	Honeycomb Investment Trust Plc
HOT.L	Henderson Opportunites Trust Plc
HOTC.L	Hotel Chocolat Group Plc
HOYE.L	Honye Financial Services Limited
HPAC.L	Hermes Pacific Investmen
HPRD.L	HSBC ETFS Plc
HPRO.L	HSBC ETFS Plc
HRI.L	Herald Investment Trust Plc
HRN.L	Hornby Plc
HRUB.L	HSBC ETFS Plc
HRUD.L	HSBC ETFS Plc
HSBA.L	HSBC Holdings Plc
HSBK.L	Jsc Halyk Bank
HSD.L	Hansard Global Plc
HSL.L	Henderson Smaller Companies Investment T
HSM.L	Heath [Samuel] & Sons Plc
HSP.L	Hargreaves Services Plc
HSPD.L	HSBC ETFS Plc
HSPX.L	HSBC ETFS Plc
HSS.L	Hss Hire Group Plc
HSTG.L	Hastings Group Holdings Plc
HSV.L	Homeserve Plc
HSW.L	Hostelworld Group Plc
HSX.L	Hiscox Ltd
HTCF.L	Highbridge Tactical Credit Fund Ltd.
HTG.L	Hunting Plc
HTRD.L	HSBC ETFS Plc
HTRY.L	HSBC ETFS Plc
HTSC.L	Huatai Securities Co. Ltd.
HTWD.L	HSBC ETFS Plc
HTWN.L	HSBC ETFS Plc
HTWS.L	Helios Towers Plc
HUKX.L	HSBC ETFS Plc
HUM.L	Hummingbird Resources Plc
HUNT.L	Hunters Property Plc
HUR.L	Hurricane Energy Plc
HUW.L	Hampden Underwriting Plc
HVPD.L	Harbourvest Global Private Equity Limite
HVPE.L	Harbourvest Global Private Equity Limite
HVT.L	Heavitree Brewery Plc
HVTA.L	Heavitree Brewery Plc
HWDN.L	Howden Joinery Group Plc
HWG.L	Harworth Group Plc
HWSL.L	Hadrian's Wall Secured Investments Limit
HWWA.L	HSBC ETFS Plc
HWWD.L	HSBC ETFS Plc
HYDG.L	Hydrogen Group Plc
HYDR.L	Jsc Rushydro
HYEA.L	Ishares Plc
HYEM.L	Vaneck Vectors Ucits ETFS Plc
HYFA.L	Powershares Glbal Funds Ireland Plc
HYG.L	Hygea Vct Plc
HYGU.L	Ishares Plc
HYLA.L	Ishares Plc
HYLD.L	Ishares Plc
HYR.L	Hydrodec Group Plc
HYST.L	Lyxor Index Fund
HYUD.L	Hyundai Motor Company
HYUP.L	Hyundai Motor Company
HYVE.L	Hyve Group Plc
HZAD.L	HSBC ETFS Plc
HZAR.L	HSBC ETFS Plc
HZD.L	Horizon Discovery Group
HZM.L	Horizonte Minerals Plc
I3E.L	I3 Energy Plc
IAAA.L	Ishares Vi Plc [The Comp
IAEX.L	Ishares Plc
IAG.L	International Consolidated Airlines Grou
IAPD.L	Ishares Plc
IASH.L	Ishares IV Plc
IASP.L	Ishares II Plc
IAT.L	Invesco Asia Trust Plc
IAUP.L	Ishares V Public Limited Company
IAUS.L	Ishares III Plc
IBC1.L	Ishares Plc
IBCI.L	Ishares Plc
IBCX.L	Ishares Plc
IBGE.L	Ishares III Plc
IBGL.L	Ishares II Plc
IBGM.L	Ishares II Plc
IBGS.L	Ishares Plc
IBGX.L	Ishares II Plc
IBGY.L	Ishares III Plc
IBGZ.L	Ishares III Plc
IBM.L	International Business Machines Corporat
IBPO.L	Ienergizer Ld
IBST.L	Ibstock Plc
IBT.L	International Biotechnology Trust Plc
IBTA.L	Ishares Plc
IBTE.L	Ishares Plc
IBTG.L	Ishares Plc
IBTL.L	Ishares IV Plc
IBTM.L	Ishares II Plc
IBTS.L	Ishares Plc
IBTU.L	Ishares Plc
IBZL.L	Ishares Plc
ICBU.L	Ishares III Plc
ICDU.L	Ishares V Public Limited Company
ICGC.L	Irish Continental Group Plc
ICGT.L	Icg Enterprise Trust Plc
ICOM.L	Ishares Vi Plc
ICON.L	Iconic Labs Plc
ICOV.L	Ishares III Plc
ICOW.L	Pacer Developed Markets International CA
ICP.L	Intermediate Capital Group Plc
ICSU.L	Ishares V Public Limited Company
IDAP.L	Ishares Plc
IDAR.L	Ishares II Plc
IDBT.L	Ishares Plc
IDBZ.L	Ishares Plc
IDE.L	Ide Group Holdings Plc
IDEA.L	Ideagen Plc
IDEE.L	Ishares Plc
IDEM.L	Ishares Plc
IDFF.L	Ishares Plc
IDFX.L	Ishares Plc
IDH.L	Immunodiagnostic Systems Holdings Plc
IDHC.L	Integrated Diagnostics H
IDIN.L	Ishares II Plc
IDJG.L	Ishares Plc
IDJP.L	Ishares III Plc
IDJV.L	Ishares Plc
IDKO.L	Ishares Plc
IDNA.L	Ishares Plc
IDOX.L	Idox Plc
IDP.L	Innovaderma Plc
IDP6.L	Ishares III Plc
IDPE.L	Ishares II Plc
IDTG.L	Ishares IV Plc
IDTK.L	Ishares II Plc
IDTL.L	Ishares IV Plc
IDTM.L	Ishares II Plc
IDTP.L	Ishares II Plc
IDTW.L	Ishares Plc
IDUP.L	Ishares II Plc
IDUS.L	Ishares Plc
IDVY.L	Ishares Plc
IDWP.L	Ishares II Plc
IDWR.L	Ishares Plc
IE15.L	Ishares III Plc
IEAA.L	Ishares III Plc
IEAC.L	Ishares III Plc
IEAH.L	Ishares III Plc
IEBB.L	Ishares III Plc
IEBC.L	Ishares III Plc
IEDL.L	Ishares IV Plc
IEDY.L	Ishares V Public Limited Company
IEEM.L	Ishares Plc
IEER.L	Ishares Plc
IEEU.L	Ishares IV Plc
IEFM.L	Ishares IV Plc
IEFQ.L	Ishares IV Plc
IEFS.L	Ishares IV Plc
IEFV.L	Ishares IV Plc
IEM.L	Impax Environmental Markets Plc
IEMA.L	Ishares III Plc
IEMB.L	Ishares II Plc
IEMD.L	Ishares IV Plc
IEMI.L	Ishares II Plc
IEML.L	Ishares III Plc
IEMO.L	Ishares IV Plc
IEMS.L	Ishares III Plc
IEMU.L	Ishares Vii Plc
IEQD.L	Ishares IV Plc
IEQU.L	Ishares IV Plc
IES.L	
IESG.L	Ishares II Plc
IESP.L	Ishares V Public Limited Company
IESU.L	Ishares V Public Limited Company
IESZ.L	Ishares IV Plc
IEUX.L	Ishares Plc
IEVL.L	Ishares IV Plc
IEX5.L	Ishares III Plc
IFFF.L	Ishares Plc
IFRB.L	Ishares V Public Limited Company
IFSD.L	Ishares IV Plc
IFSE.L	Ishares IV Plc
IFSU.L	Ishares IV Plc
IFSW.L	Ishares IV Plc
IGAA.L	Ishares III Plc
IGAS.L	Igas Energy Plc
IGC.L	India Capital Growth Fund Limited
IGE.L	Image Scan Holdings Plc
IGEA.L	Ishares III Plc
IGG.L	IG Group Holdings Plc
IGHY.L	Ishares Plc
IGIL.L	Ishares III Plc
IGLA.L	Ishares III Plc
IGLH.L	Ishares III Plc
IGLN.L	Ishares Physical Metals Plc
IGLO.L	Ishares III Plc
IGLS.L	Ishares III Plc
IGLT.L	Ishares II Plc
IGP.L	Intercede Group Plc
IGR.L	International Greetings Plc
IGSD.L	Ishares IV Plc
IGSG.L	Ishares II Plc
IGSU.L	Ishares II Plc
IGTM.L	Ishares II Plc
IGUS.L	Ishares V Public Limited Company
IGV.L	Income & Growth Vct [The] Plc
IGWD.L	Ishares V Public Limited Company
IH2O.L	Ishares II Plc
IHC.L	Inspiration Healthcare G
IHCU.L	Ishares V Public Limited Company
IHG.L	Intercontinental Hotels Group Plc
IHHG.L	Ishares II Plc
IHP.L	Integrafin Holdings Plc
IHR.L	Impact Healthcare REIT Plc
IHYA.L	Ishares II Plc
IHYE.L	Ishares II Plc
IHYG.L	Ishares Plc
IHYU.L	Ishares II Plc
III.L	3I Group Plc
IIMFL.L	Russell 1000 Invesco Dynamic Multifactor
IIMFS.L	Russell 2000 Invesco Dynamic Multifactor
IIND.L	Ishares IV Plc
IIP.L	Infrastructure India Plc
IISU.L	Ishares V Public Limited Company
IIT.L	Independent Investment Trust Plc
IITB.L	Ishares V Public Limited Company
IITU.L	Ishares V Public Limited Company
IJPA.L	Ishares III Plc
IJPD.L	Ishares Plc
IJPE.L	Ishares MSCI Japan EUR Hedged
IJPH.L	Ishares V Public Limited Company
IJPN.L	Ishares Plc
IJPU.L	Ishares Plc
IKA.L	Ilika Plc
IKOR.L	Ishares Plc
IKSA.L	Ishares III Plc
IKSD.L	Ishares III Plc
IL0A.L	Permanent Tsb Group Hold
IMB.L	Imperial Brands
IMBA.L	Ishares IV Plc
IMBS.L	Ishares IV Plc
IMC.L	Imc Exploration Group Plc
IME.L	Immedia Group Plc
IMEA.L	Ishares III Plc
IMEU.L	Ishares II Plc
IMI.L	IMI Plc
IMIB.L	Ishares II Plc
IMID.L	SSGA SPDR ETFS Europe I Plc
IMM.L	Immupharma Plc
IMMO.L	Immotion Group Plc
IMO.L	Imimobile Plc
IMSU.L	Ishares V Public Limited Company
IMV.L	Ishares Vi Plc [The Comp
IMVU.L	Ishares Vi Plc [The Company]
INAA.L	Ishares Plc
INCE.L	Ince Group Plc (The)
INCH.L	Inchcape Plc
IND.L	Indigovision Group Plc
INDI.L	Indus Gas Limited
INDV.L	Indivior Plc
INDW.L	Multi Units Luxembourg
INF.L	Informa Plc
INFA.L	Infrastrata Plc
INFG.L	Multi Units Luxembourg
INFL.L	Multi Units Luxembourg
INFR.L	Ishares II Plc
INFU.L	Multi Units Luxembourg
ING.L	Ingenta Plc
INHC.L	Induction Healthcare Group Plc
INL.L	Inland Homes Plc
INLZ.L	Inland Zdp Plc
INPP.L	International Public Partnerships Ld
INRG.L	Ishares II Plc
INRL.L	Lyxor International Asse
INRU.L	Lyxor International Asse
INS.L	Instem Plc
INSE.L	Inspired Energy Plc
INSP.L	Inspirit Energy Holdings
INTL.L	Wisdomtree Issuer Plc
INTO.L	Intosol Holdings Plc
INTU.L	Intu Properties Plc
INV.L	Investment Company Plc
INVP.L	Investec Plc
INVR.L	Investec Plc
INX.L	I-Nexus Global Plc
INXG.L	Ishares II Plc
IOF.L	Iofina Plc
IOG.L	Independent Oil & Gas Pl
IOGP.L	Ishares V Public Limited Company
IOM.L	Iomart Group Plc
IPDM.L	Ishares Physical Metals Plc
IPE.L	Invesco Enhanced Income Ltd.
IPEL.L	Impellam Group Plc
IPF.L	International Personal Finance Plc
