Symbol	Description
0FJC.L	PATRIZIA IMMOBILIEN AG NPV
0FLE.L	PETZETAKIS SA EUR1
0FM1.L	PIAGGIO & C SPA EUR0.52
0FM2.L	PICANOL NPV
0FMN.L	POLSKI KONCERN NAFTOWY ORLEN SA PLN1.25
0FMO.L	POWSZECHNA KASA OSZCZED BK POLSKI PLN1
0FNZ.L	PONSSE NPV
0FPB.L	PARIS ORLEANS EUR2
0FQ8.L	PORTUGAL TELECOM SGPS SA EUR0.35(REGD)
0FQI.L	PUBLICIS GROUPE SA EUR0.40
0FQR.L	PFEIFFER VACUUM TECHNOLOGY ORD NPV
0FRE.L	QUEST FOR GROWTH NPV
0FRI.L	QUANTEL EUR3
0FRJ.L	RATIONAL AG NPV
0FS8.L	RENEWABLE ENERGY CORP AS NOK1
0FSN.L	RESILUX NPV
0FSO.L	RETAIL ESTATES NPV
0FWY.L	SALMAR ASA NOK0.25
0G0X.L	SILICON SENSOR INTERNATIONAL AG NPV
0G15.L	KOENIG & BAUER AG NPV
0G1T.L	SOLUCOM SA NPV
0G2X.L	SOFINA NPV
0G33.L	SOLAR A/S `B`DKK100
0G34.L	MOURY CONSTRUCT NPV
0G3L.L	SPOBAG NPV
0G3T.L	SO PA F SPA EUR0.50
0G51.L	STOREBRAND ASA `A`NOK5
0G5B.L	STO AG NON VTG PRF NPV
0G67.L	SPAREBANKEN VEST NOK100 GRUNNFONDSBEVIS
0G68.L	KENDRION N.V. EUR2
0G6T.L	SYMRISE AG NPV
0G6W.L	SYSTEMAT NPV
0G77.L	SALZGITTER AG ORD NPV
0G7B.L	SUDZUCKER AG NPV
0G7F.L	TANDBERG ASA NOK1(NEW)
0G8C.L	TELENOR ASA ORD NOK6
0G91.L	TREVI FINANZIARIA INDUSTRIALE EUR0.50
0G99.L	THROMBOGENICS NPV
0G9J.L	TAMBURI INVESTMENT PARTNERS EUR0.52
0G9W.L	GESTEVISION TELECINCO SA ORD EUR0.5
0GA3.L	TELECOM ITALIA SPA(NEW) DI RISP EUR0.55
0GAF.L	TELENET NPV
0GB7.L	TELEKOMUNIKACJA POLSKA PLN3
0GC8.L	TAKKT AG NPV
0GCB.L	TECHNOTRANS AG NPV
0GD5.L	UBM REALITAETENENTWICKLUNG NPV
0GDH.L	ULRIC DE VARENS NPV
0GDR.L	UNIQA VERSICHERUNG AG NPV
0GDU.L	UNIPETROL CZK100
0GE4.L	UNITED INTERNET AG NPV
0GEA.L	UZIN UTZ AG NPV
0GEG.L	VAISALA NPV`A`
0GF6.L	VEIDEKKE NOK0.5
0GFN.L	VIPA HOLDING NPV
0GGH.L	VITTORIA ASSICURAZIONI EUR1
0GHX.L	VUKI AS EUR33.19
0GJK.L	WASHTEC AG NPV
0GJN.L	WUSTENROT & WURTTEMBERGISCHE AG NPV
0GJS.L	XILAM ANIMATION EUR0.10
0GKA.L	YIT OYJ NPV
0GM2.L	LEROY SEAFOOD GROUP NOK1
0GM9.L	ESI GROUP EUR3
0GMG.L	ADDNODE AB SER`B`NPV
0GN6.L	ARGAN EUR2
0GNK.L	KNOW IT ORD NPV
0GNX.L	GUNNEBO AB NPV
0GO4.L	SWEDISH MATCH AB NPV
0GOG.L	CONSILIUM AB SER`B`NPV
0GOZ.L	DATATRAK HLDGS EUR0.232937
0GP7.L	MEDIVIR SER`B`NPV
0GQE.L	CLAS OHLSON AB SER `B` NPV
0GRG.L	KUNGSLEDEN NPV
0GRK.L	MILLICOM INTERNATIONAL CELLULAR BDR EACH REP 1 USD1.50 MILLICOM INTL
0GRP.L	BIOTAGE AB NPV
0GRX.L	HEXAGON AB SER`B`NPV
0GRZ.L	RAYSEARCH LABORATORIES AB SER`B`NPV
0GSE.L	MIDELFART SONESSON AB SER`B`NPV
0GSS.L	NOTE AB ORD NPV
0GT1.L	CASTELLUM AB SEK0.50
0GT3.L	PROACT IT GROUP NPV
0GT8.L	BEIJER ELECTRONICS AB ORD NPV
0GTM.L	DIOS FASTIGHETER AB NPV
0GTN.L	BIOGAIA AG SER`B`NPV
0GTO.L	KAPSCH TRAFFICCOM AG NPV
0GTR.L	HUSQVARNA SER`B`NPV
0GTU.L	TRADEDOUBLER AB NPV
0GU8.L	SOFTRONIC AB SER B NPV
0GUO.L	CTT SYSTEMS NPV
0GUX.L	SKANDINAVISKA ENSKILDA BANKEN SER`C`NPV
0GVS.L	CATENA AB NPV
0GW0.L	NOBIA AB NPV
0GW3.L	HUFVUDSTADEN AB SER`A`NPV
0GW8.L	GRIEG SEAFOOD NOK1
0GWB.L	LUNDBERGFORETAGEN AB SER`B`NPV
0GWL.L	SAAB AB SER`B`NPV
0GWS.L	BILLERUD AB NPV
0GX2.L	NEURONES EUR0.40
0GXJ.L	MODERN TIMES GROUP(MTG) SER`B`NPV
0GXK.L	VBG GROUP AB NPV `B`
0GYM.L	ACKERMANS NPV(POST SPLIT)
0GYQ.L	VARTA AG NPV
0GYZ.L	NORDIC MINING ASA NOK0.1
0GZB.L	PROBI AB NPV
0GZK.L	IBA(ION BEAM APPLICATIONS) NPV(POST SPLIT)
0GZV.L	GETINGE AB SER`B`NPV
0GZX.L	DIASORIN S.P.A. EUR1
0H00.L	BANCO DE SABADELL SA EUR0.125
0H0G.L	SWECO AB SER`B`NPV
0H0L.L	ROTTNEROS AB ORD NPV
0H0U.L	SENSYS TRAFFIC AB NPV
0H13.L	INDUSTRIVARDEN AB SER`A`NPV
0H14.L	NET INSIGHT NPV SER`B`
0H19.L	OREXO AB NPV
0H1C.L	VOSTOK NAFTA LTD SDR USD1.00
0H1I.L	NORTHERN LOGISTIC PROPERTY NOK1
0H22.L	BIOINVENT AB NPV
0H2J.L	PREVAS AB SER`B`NPV
0H2Z.L	FASTIGHETS BALDER AB NPV
0H30.L	INDUTRADE AB NPV
0H38.L	PRICER AB SER`B`NPV
0H3Q.L	DEUTSCHE POST AG NPV(REGD)
0H3T.L	DEUTSCHE BOERSE AG NPV
0H4A.L	DEUTSCHE LUFTHANSA AG NPV
0H4N.L	GAMESA CORPORACION TECNOLOGICA SA ORD EUR0.17
0H59.L	ACCOR EUR3
0H65.L	JUVENTUS FOOTBALL CLUB SPA EUR0.10
0H6G.L	ENI EUR1
0H6I.L	TELECOM ITALIA SPA(NEW) EUR0.55
0H6T.L	SWEDBANK AB SER`A`NPV
0H6X.L	TELIASONERA AB NPV
0H7D.L	DEUTSCHE BANK AG ORD NPV(REGD)
0H7I.L	LANXESS AG NPV
0H7O.L	BANKINTER SA EUR0.30(REGD)
0H8X.L	LOCINDUS EUR5.75
0H9P.L	INTRUM JUSTITIA AB NPV
0H9U.L	DEXIA NPV
0H9V.L	CLARIANT CHF4.25
0H9X.L	FRESENIUS MEDICAL CARE AG & CO.KGAA NPV
0HA0.L	RWE AG(NEU) NPV`A`
0HA3.L	MUNCHENER RUCKVERSICHERUNGS AG NPV(REGD)
0HA5.L	ABERTIS INFRAESTRUCTURAS EUR3
0HA8.L	CORPORACION FINANCIERA ALBA EUR1
0HA9.L	INDRA SISTEMAS S.A EUR0.20'A'
0HAA.L	FOMENTO DE CONSTRUCCIONES Y CONTRA EUR1
0HAC.L	ACS ACTIVIDADES DE CONSTRUCCION Y ORD EUR0.5
0HAF.L	NOKIA CORP NPV0.06
0HAG.L	SAMPO SER'A'NPV
0HAH.L	FORTUM OYJ EUR3.40
0HAI.L	CREDIT AGRICOLE EUR3
0HAL.L	CARREFOUR EUR2.5
0HAN.L	BOUYGUES EUR1
0HAQ.L	SANOFI-AVENTIS EUR2
0HAR.L	AXA EUR2.29
0HAT.L	PERNOD-RICARD NPV
0HAU.L	LVMH MOET-HENNESSY LOUIS VUITTON EUR0.30
0HAV.L	SODEXHO ALLIANCE EUR4
0HAZ.L	CAP GEMINI EUR8
0HB0.L	CANAL PLUS EUR0.75
0HB1.L	CASINO GUICHARD-PERRACHON EUR1.53
0HB2.L	LAGARDERE GROUP S.C.A. EUR6.10(REGD)
0HB4.L	DASSAULT SYSTEMES SA EUR1
0HB5.L	BNP PARIBAS EUR2
0HB7.L	FRANCE TELECOM EUR4
0HB9.L	ALSTOM EUR14
0HBA.L	EDF EUR0.50
0HBB.L	ARKEMA EUR10
0HBC.L	INTESA SANPAOLO SPA EUR0.52
0HBF.L	MEDIOBANCA SPA EUR0.50
0HBH.L	RCS MEDIAGROUP EUR1
0HBP.L	HENNES & MAURITZ AB NPV 'B'
0HBQ.L	SKF AB SER`B`NPV
0HBS.L	SVENSKA CELLULOSA AB-SCA SER`B`NPV
0HBT.L	SKANSKA AB SER'B'NPV
0HBY.L	SKANDINAVISKA ENSKILDA BANKEN SER'A'NPV
0HC0.L	SANDVIK AB NPV
0HCI.L	
0HCR.L	NOBEL BIOCARE AG CHF2
0HCT.L	VIVENDI EUR5.5
0HCV.L	KBC ANCORA CVA NPV
0HD9.L	ZONCOLAN ASA NOK0.07
0HDJ.L	MEKONOMEN AB NPV
0HDK.L	SYSTEMAIR AB NPV
0HDM.L	VWD VEREINIGTE WIRTSCHAFTSDIENSTE NPV
0HDP.L	D/S NORDEN DKK1
0HDQ.L	SYNERGIE EUR5
0HDU.L	BOUVET ASA NOK1
0HE1.L	DU PONT(E.I.)DE NEMOURS & CO COM STK USD0.30
0HE2.L	EPICEPT CORP COM STK USD0.0001
0HE6.L	NYSE EURONEXT INC COM STK USD0.01
0HEQ.L	C.M.B.(COMPANY MARITIME BELGE) NPV (POST-SPLIT)
0HFD.L	GREENTECH ENERGY SYSTEMS DKK5
0HFH.L	GORENJSKI TISK NPV
0HG8.L	
